"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"442 Primary combat members of the Canadian Armed Forces","10,150","8,950","1,200"
"4420 Primary combat members of the Canadian Armed Forces","10,150","8,950","1,200"
"44200 Primary combat members of the Canadian Armed Forces","10,150","8,950","1,200"
"45 Student monitors, crossing guards and related occupations","35,020","5,790","29,230"
"451 Student monitors, crossing guards and related occupations","35,020","5,790","29,230"
"4510 Student monitors, crossing guards and related occupations","35,020","5,790","29,230"
"45100 Student monitors, crossing guards and related occupations","35,020","5,790","29,230"
"5 Occupations in art, culture, recreation and sport","697,260","319,920","377,340"
"50 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870"
"500 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870"
"5001 Managers in art, culture, recreation and sport","27,955","13,085","14,870"
"50010 Library, archive, museum and art gallery managers","5,070","1,270","3,800"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","8,830","4,430","4,400"
"50012 Recreation, sports and fitness program and service directors","14,060","7,380","6,670"
"51 Professional occupations in art and culture","174,675","79,425","95,250"
"511 Professional occupations in art and culture","174,675","79,425","95,250"
"5110 Librarians, archivists, conservators and curators","13,215","3,105","10,115"
"51100 Librarians","9,355","1,850","7,500"
"51101 Conservators and curators","2,210","695","1,515"
"51102 Archivists","1,650","560","1,095"
"5111 Writing, translating and related communications professionals","83,835","31,830","52,005"
"51110 Editors","15,890","5,360","10,530"
"51111 Authors and writers (except technical)","27,745","11,335","16,410"
"51112 Technical writers","8,990","3,505","5,485"
"51113 Journalists","11,360","5,915","5,445"
"51114 Translators, terminologists and interpreters","19,850","5,720","14,135"
"5112 Creative and performing artists","77,625","44,490","33,140"
"51120 Producers, directors, choreographers and related occupations","36,200","23,490","12,710"
"51121 Conductors, composers and arrangers","3,930","2,700","1,230"
"51122 Musicians and singers","37,495","18,300","19,200"
"52 Technical occupations in art, culture and sport","215,790","106,135","109,650"
"521 Technical occupations in art and culture","215,790","106,135","109,650"
"5210 Technical occupations in libraries and public archives","10,365","1,345","9,015"
"52100 Library and public archive technicians","10,365","1,345","9,015"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","84,365","56,605","27,760"
"52110 Film and video camera operators","5,930","5,160","775"
"52111 Graphic arts technicians","13,420","9,105","4,315"
"52112 Broadcast technicians","1,960","1,715","245"
"52113 Audio and video recording technicians","28,340","23,025","5,310"
"52114 Announcers and other broadcasters","5,400","3,315","2,080"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","29,315","14,285","15,030"
"5212 Graphic and interior designers","121,060","48,185","72,875"
"52120 Graphic designers and illustrators","88,935","42,335","46,595"
"52121 Interior designers and interior decorators","32,125","5,845","26,280"
"53 Occupations in art, culture and sport","154,660","69,870","84,790"
"531 Occupations in art and culture","128,400","53,110","75,295"
"5310 Occupations related to museums and art galleries","6,875","2,905","3,960"
